ID;Name;Latitude;Longitude;TransportType;adresse;compl_adresse;code_postale
1;Gare de Lyon;48.8448057;2.3734794;metro;Place Louis Armand;Quartier des Quinze-Vingts;75012
2;Franklin D. Roosevelt;48.8690339;2.3099266;metro;Rond-point des Champs-Élysées-Marcel-Dassault;Quartier du Faubourg-du-Roule;75008
3;Tuileries;48.8645194;2.3296312;metro;Rue de Rivoli;Quartier Saint-Germain-l'Auxerrois;75001
4;Châtelet;48.8587782;2.3474106;metro;Rue de Rivoli;Quartier Les Halles;75001
5;Saint-Paul;48.8553844;2.3604068;metro;Rue de Rivoli;Quartier Saint-Gervais;75004
6;La Motte-Picquet - Grenelle;48.8489809;2.2981916;metro;Boulevard de Grenelle;Quartier de Grenelle;75015
7;Cambronne;48.8475232;2.3029457;metro;Boulevard Garibaldi;Quartier Necker;75015
8;Dupleix;48.8504095;2.2936611;metro;Boulevard de Grenelle;Quartier de Grenelle;75015
9;Gare Montparnasse;48.8400624;2.3191085;metro;Allée du Capitaine Dronne;Quartier Necker;75015
10;Convention;48.8372872;2.2966539;metro;Rue de Vaugirard;Quartier Saint-Lambert;75015
11;Invalides;48.8628261;2.3138373;metro;Quai d'Orsay;Quartier des Invalides;75007
12;Porte d'Orléans;48.8236307;2.3256075;metro;Avenue du Général Leclerc;Quartier du Petit-Montrouge;75014
13;Alésia;48.8280318;2.3270406;metro;Place Victor et Hélène Basch;Quartier du Petit-Montrouge;75014
14;Mouton-Duvernet;48.8312786;2.3298657;metro;Avenue du Général Leclerc;Quartier du Petit-Montrouge;75014
15;Saint-Jacques;48.8329806;2.3368199;metro;Boulevard Saint-Jacques;Quartier du Parc-de-Montsouris;75014
16;Glacière;48.8311451;2.3434916;metro;Paris 13e Arrondissement;Paris;75013
17;Place d'Italie;48.8309446;2.3558932;metro;Avenue d'Italie;Quartier de la Maison-Blanche;75013
18;Nationale;48.8331995;2.3628272;metro;Boulevard Vincent Auriol;Quartier de la Gare;75013
19;Chevaleret;48.83495;2.3681023;metro;Boulevard Vincent Auriol;Quartier de la Gare;75013
20;Quai de la Gare;48.8370444;2.3728619;metro;Boulevard Vincent Auriol;Quartier de la Salpêtrière;75013
21;Stalingrad;48.8842416;2.3670741;metro;Boulevard de la Villette;Quartier de la Villette;75019
22;Nation;48.847611;2.3955668;metro;Place de la Nation;Quartier de Picpus;75012
23;Buttes Chaumont;48.8783961;2.3812008;metro;Avenue Jacques de Liniers;Quartier du Combat;75019
24;Bolivar;48.8809263;2.3739077;metro;Avenue Secrétan;Quartier du Combat;75019
25;Buzenval;48.8518248;2.4013274;metro;Rue d'Avron;Quartier de Charonne;75020
26;Ménilmontant;48.8667079;2.3833739;metro;Place Jean Ferrat;Quartier Saint-Ambroise;75011
27;Père Lachaise;48.8629496;2.3874348;metro;Boulevard de Ménilmontant;Quartier du Père-Lachaise;75020
28;Philippe Auguste;48.8582563;2.3901666;metro;Quartier de la Roquette;Paris 11e Arrondissement;75011
29;Alexandre Dumas;48.85634;2.3944352;metro;Quartier Sainte-Marguerite;Paris 11e Arrondissement;75011
30;Belleville;48.872035;2.3768798;metro;Rue du Faubourg du Temple;Quartier de l'Hôpital Saint-Louis;75010
31;Couronnes;48.869062;2.3804698;metro;Rue des Couronnes;Quartier de la Folie-Méricourt;75011
32;Colonel Fabien;48.8774215;2.3710197;metro;Boulevard de la Villette;Quartier du Combat;75019
33;Blanche;48.8835274;2.3335853;metro;Boulevard de Clichy;Quartier des Grandes-Carrières;75018
34;Place de Clichy;48.8834776;2.3272899;metro;Quartier Saint-Georges;Paris 9e Arrondissement;75009
35;Rome;48.8823012;2.3213298;metro;Boulevard des Batignolles;Quartier des Batignolles;75017
36;Villiers;48.8811181;2.3149118;metro;Boulevard de Courcelles;Quartier de l'Europe;75008
37;Monceau;48.8803157;2.3086415;metro;Place de la République Dominicaine;Quartier de la Plaine-de-Monceau;75017
38;Porte Dauphine;48.8711895;2.2783699;metro;Avenue Hubert Germain;Quartier de la Porte-Dauphine;75116
39;Rue Saint-Maur;48.864335;2.3794817;metro;Avenue de la République;Quartier Saint-Ambroise;75011
40;Parmentier;48.8653571;2.3739035;metro;Avenue de la République;Quartier de la Folie-Méricourt;75011
41;Arts et Métiers;48.8654718;2.3561116;metro;Rue de Turbigo;Quartier des Arts-et-Métiers;75003
42;Bourse;48.8686539;2.3414383;metro;Place de la Bourse;Quartier Vivienne;75002
43;Quatre Septembre;48.8695929;2.3358665;metro;Rue Monsigny;Quartier Gaillon;75002
44;Opéra;48.8706446;2.33233;metro;Boulevard des Capucines;Quartier Gaillon;75002
45;Havre - Caumartin;48.8736792;2.3273189;metro;Boulevard Haussmann;Quartier de la Chaussée-d'Antin;75009
46;Malesherbes;48.8829752;2.3089995;metro;Avenue de Villiers;Quartier de la Plaine-de-Monceau;75017
47;Wagram;48.8840526;2.3037389;metro;Avenue de Villiers;Quartier de la Plaine-de-Monceau;75017
48;Pereire;48.8848183;2.298274;metro;Avenue de Villiers;Quartier de la Plaine-de-Monceau;75017
49;Porte de Champerret;48.8859272;2.2934906;metro;Boulevard Berthier;Quartier de la Plaine-de-Monceau;75017
50;Vaugirard;48.839587;2.3012795;metro;Rue de Vaugirard;Quartier Saint-Lambert;75015
51;Volontaires;48.8415334;2.3080102;metro;Rue de Vaugirard;Quartier Necker;75015
52;Falguière;48.8444916;2.317965;metro;Rue de Vaugirard;Quartier Necker;75015
53;Duroc;48.8468433;2.3166286;metro;Place Léon-Paul Fargue;Quartier Notre-Dame-des-Champs;75006
54;Bel-Air;48.8413382;2.4009129;metro;Boulevard de Picpus;Quartier de Picpus;75012
55;Marx Dormoy;48.8905061;2.3599967;metro;Rue de la Chapelle;Quartier de la Chapelle;75018
56;Jacques Bonsergent;48.8711191;2.3607546;metro;Boulevard de Magenta;Quartier de la Porte-Saint-Martin;75010
57;Maraîchers;48.8527267;2.4061303;metro;Rue d'Avron;Quartier de Charonne;75020
58;Rue des Boulets;48.8525808;2.3887914;metro;Boulevard Voltaire;Quartier Sainte-Marguerite;75011
59;Charonne;48.8547411;2.3853043;metro;Boulevard Voltaire;Quartier de la Roquette;75011
60;Voltaire;48.8581794;2.3798223;metro;Place Léon Blum;Quartier de la Roquette;75011
61;Saint-Ambroise;48.8610434;2.3747264;metro;Boulevard Voltaire;Quartier Saint-Ambroise;75011
62;Oberkampf;48.8641124;2.3694232;metro;Boulevard Voltaire;Quartier de la Folie-Méricourt;75011
63;Bonne Nouvelle;48.8705324;2.3487457;metro;Boulevard de Bonne Nouvelle;Quartier de la Porte-Saint-Denis;75010
64;Grands Boulevards;48.8714412;2.3434953;metro;Boulevard Poissonnière;Quartier du Faubourg-Montmartre;75009
65;Saint-Augustin;48.874471;2.3217921;metro;Boulevard Haussmann;Quartier de la Madeleine;75008
66;Cardinal Lemoine;48.8465303;2.3518356;metro;Rue des Boulangers;Quartier Saint-Victor;75005
67;Maubert - Mutualité;48.8500649;2.3484301;metro;Boulevard Saint-Germain;Quartier de la Sorbonne;75005
68;Cluny-La Sorbonne;48.8510938;2.3441587;metro;Boulevard Saint-Germain;Quartier de la Sorbonne;75005
69;Mabillon;48.8528857;2.3349394;metro;Rue du Four;Quartier de Saint-Germain-des-Prés;75006
70;Balard;48.8363968;2.278379;metro;Place Balard;Quartier de Javel;75015
71;Lourmel;48.8387364;2.2821481;metro;Avenue Félix Faure;Quartier de Javel;75015
72;Boucicaut;48.8410837;2.2879218;metro;Rue de la Convention;Quartier de Javel;75015
73;Félix Faure;48.8426775;2.2917792;metro;Avenue Félix Faure;Quartier de Javel;75015
74;Dugommier;48.8390379;2.3897217;metro;Boulevard de Reuilly;Quartier de Picpus;75012
75;Bercy;48.8401549;2.3799474;metro;Place du Bataillon du Pacifique;Quartier de Bercy;75012
76;Montparnasse-Bienvenüe;48.8421022;2.3202714;metro;Boulevard de Vaugirard;Quartier Necker;75015
77;Pasteur;48.8429336;2.3125906;metro;Rue de Vaugirard;Quartier Necker;75015
78;Kléber;48.8716801;2.2935185;metro;Avenue Kléber;Chaillot;75116
79;Passy;48.8575009;2.285778;metro;Rue Marietta Alboni;Quartier de la Muette;75016
80;Iéna;48.8646177;2.2937179;metro;Place d'Iéna;Chaillot;75116
81;Rue de la Pompe;48.8640672;2.278149;metro;Avenue Georges Mandel;Quartier de la Porte-Dauphine;75116
82;La Muette;48.8579754;2.274062;metro;Avenue Mozart;Quartier de la Muette;75016
83;Ranelagh;48.8555764;2.2702166;metro;Rue du Ranelagh;Quartier de la Muette;75016
84;Jasmin;48.8525598;2.2681802;metro;Avenue Mozart;Quartier d'Auteuil;75016
85;Michel-Ange - Molitor;48.8450092;2.26111;metro;Rue Molitor;Quartier d'Auteuil;75016
86;Exelmans;48.8430044;2.2600472;metro;Rue Michel-Ange;Quartier d'Auteuil;75016
87;Porte de Saint-Cloud;48.8377707;2.2565741;metro;Place de la Porte de Saint-Cloud;Quartier d'Auteuil;75016
88;Alma-Marceau;48.8648683;2.300292;metro;Avenue du Président Wilson;Chaillot;75116
89;Saint-Philippe du Roule;48.8723362;2.3100827;metro;Avenue Franklin Delano Roosevelt;Quartier du Faubourg-du-Roule;75008
90;Miromesnil;48.873719;2.3145029;metro;Avenue Percier;Quartier de l'Europe;75008
91;Sèvres-Babylone;48.8514598;2.3268704;metro;Rue de Sèvres;Quartier Saint-Thomas-d'Aquin;75007
92;Brochant;48.8905757;2.3202004;metro;Rue Brochant;Quartier des Épinettes;75017
93;La Fourche;48.886971;2.3258228;metro;Avenue de Clichy;Quartier des Grandes-Carrières;75017
94;Ségur;48.8469753;2.3074451;metro;Avenue de Suffren;Quartier Necker;75015
95;Avenue Émile Zola;48.8469751;2.2953222;metro;Quartier de Grenelle;Paris 15e Arrondissement;75015
96;Assemblée Nationale;48.8606922;2.3210377;metro;Boulevard Saint-Germain;Quartier des Invalides;75007
97;Solférino;48.8586551;2.3229865;metro;Boulevard Saint-Germain;Quartier des Invalides;75007
98;Rennes;48.848198;2.3277771;metro;rue de rennes;Quartier Notre-Dame-des-Champs;75006
99;Notre-Dame des Champs;48.8446836;2.3288039;metro;Boulevard Raspail;Quartier Notre-Dame-des-Champs;75006
100;Commerce;48.8447112;2.2938643;metro;Rue du Commerce;Quartier de Grenelle;75015
101;École Militaire;48.8546647;2.3060728;metro;Avenue de la Motte-Picquet;Quartier du Gros-Caillou;75007
102;La Tour Maubourg;48.8575602;2.3103234;metro;Avenue de la Motte-Picquet;Quartier des Invalides;75007
103;Filles du Calvaire;48.8633194;2.3666323;metro;Boulevard du Temple;Quartier de la Folie-Méricourt;75011
104;Saint-Sébastien - Froissart;48.8611816;2.367234;metro;Boulevard des Filles du Calvaire;Quartier Saint-Ambroise;75011
105;Chemin Vert;48.8574434;2.3681408;metro;Boulevard Beaumarchais;Quartier Saint-Ambroise;75011
106;Ledru-Rollin;48.8512945;2.3760274;metro;Rue du Faubourg Saint-Antoine;Quartier des Quinze-Vingts;75012
107;Faidherbe — Chaligny;48.8501609;2.3842222;metro;Rue du Faubourg Saint-Antoine;Quartier Sainte-Marguerite;75011
108;Montgallet;48.844304;2.3901962;metro;Rue de Reuilly;Quartier de Picpus;75012
109;Michel Bizot;48.8370694;2.4024586;metro;Avenue Daumesnil;Quartier du Bel-Air;75012
110;Porte Dorée;48.8352765;2.4061775;metro;Boulevard Poniatowski;Quartier du Bel-Air;75012
111;Picpus;48.8450724;2.4010857;metro;Avenue de Saint-Mandé;Quartier de Picpus;75012
112;Porte de Charenton;48.8322315;2.3990408;metro;Boulevard Poniatowski;Quartier de Picpus;75012
113;Trinité d'Estienne d'Orves;48.8763067;2.3326426;metro;Rue de Châteaudun;Quartier de la Chaussée-d'Antin;75009
114;Notre-Dame de Lorette;48.8760191;2.3385341;metro;Rue de Châteaudun;Quartier de la Chaussée-d'Antin;75009
115;Saint-Georges;48.8784466;2.3374748;metro;Place Saint-Georges;Quartier Saint-Georges;75009
116;Abbesses;48.8845853;2.3379012;metro;Rue des Abbesses;Quartier des Grandes-Carrières;75018
117;Lamarck - Caulaincourt;48.8897556;2.3387677;metro;Rue Pierre Dac;Quartier des Grandes-Carrières;75018
118;Jules Joffrin;48.8925349;2.3446536;metro;Rue Ordener;Quartier de Clignancourt;75018
119;Porte de la Chapelle;48.8977035;2.3594563;metro;Rue de la Chapelle;Quartier de la Chapelle;75018
120;Simplon;48.8938481;2.3478412;metro;Boulevard Ornano;Quartier de Clignancourt;75018
121;Gare de l'Est;48.8762027;2.3579127;metro;Rue du 8 Mai 1945;Quartier Saint-Vincent-de-Paul;75010
122;Cité;48.8553245;2.347542;metro;Place Louis Lépine;Quartier Les Îles;75004
123;Saint-Michel;48.8532864;2.3435081;metro;Place Saint-Michel;Quartier de la Monnaie;75006
124;Saint-Germain-des-Prés;48.8536304;2.334471;metro;Boulevard Saint-Germain;Quartier de Saint-Germain-des-Prés;75006
125;Saint-Placide;48.847098;2.3270206;metro;Rue de Rennes;Quartier Notre-Dame-des-Champs;75006
126;Vavin;48.8422164;2.3290114;metro;Boulevard du Montparnasse;Quartier Notre-Dame-des-Champs;75006
127;Charles Michels;48.84647;2.2858803;metro;Avenue Émile Zola;Quartier de Javel;75015
128;Javel - André Citroën;48.8461781;2.2782825;metro;Avenue Émile Zola;Quartier de Javel;75015
129;Église d'Auteuil;48.8473124;2.2686366;metro;Place Théodore Rivière;Quartier d'Auteuil;75016
130;Porte d'Auteuil;48.8480881;2.2587539;metro;Place de la Porte d'Auteuil;Quartier d'Auteuil;75016
131;Chardon-Lagache;48.8454285;2.2671305;metro;Rue Chardon-Lagache;Quartier d'Auteuil;75016
132;Mirabeau;48.8468116;2.2716976;metro;Rue Mirabeau;Quartier d'Auteuil;75016
133;Goncourt;48.8699854;2.3710671;metro;Avenue Parmentier;Quartier de la Folie-Méricourt;75011
134;Pyrénées;48.8738565;2.3852638;metro;Rue de Belleville;Quartier de Belleville;75020
135;Jourdain;48.8750944;2.38933;metro;Rue du Jourdain;Quartier de Belleville;75020
136;Bréguet-Sabin;48.8566333;2.3704333;metro;Boulevard Richard-Lenoir;Quartier de la Roquette;75011
137;Richard Lenoir;48.8602134;2.3720741;metro;Boulevard Richard-Lenoir;Quartier Saint-Ambroise;75011
138;Riquet;48.8884812;2.3742226;metro;Avenue de Flandre;Quartier de la Villette;75019
139;Crimée;48.8908513;2.3773681;metro;Avenue de Flandre;Quartier de la Villette;75019
140;Corentin Cariou;48.8947282;2.3823046;metro;Avenue Corentin Cariou;Quartier du Pont-de-Flandre;75019
141;Porte de la Villette;48.8974039;2.385591;metro;Boulevard Macdonald;Quartier du Pont-de-Flandre;75019
142;Sully - Morland;48.8513954;2.3618174;metro;Quai des Célestins;Quartier de l'Arsenal;75004
143;Pont Marie;48.8537872;2.3565905;metro;Quai de l'Hôtel de Ville;Quartier Saint-Gervais;75004
144;Place Monge;48.8429053;2.3522772;metro;Rue Larrey;Quartier du Jardin des Plantes;75005
145;Censier - Daubenton;48.8406473;2.3519334;metro;Rue Monge;Quartier du Jardin des Plantes;75005
146;Les Gobelins;48.8356304;2.3526735;metro;Avenue des Gobelins;Quartier de la Salpêtrière;75013
147;Danube;48.8819488;2.393338;metro;Rue David d'Angers;Quartier d'Amérique;75019
148;Saint-Fargeau;48.8715218;2.4043104;metro;Avenue Gambetta;Quartier Saint-Fargeau;75020
149;Pelleport;48.8680997;2.4013152;metro;Place Paul Signac;Quartier du Père-Lachaise;75020
150;Saint-Marcel;48.8382761;2.3608491;metro;Boulevard de l'Hôpital;Quartier de la Salpêtrière;75013
151;Guy Môquet;48.8927389;2.3273435;metro;Avenue de Saint-Ouen;Quartier des Grandes-Carrières;75018
152;Porte de Saint-Ouen;48.8971558;2.3288425;metro;Avenue de Saint-Ouen;Quartier des Grandes-Carrières;75018
153;Tolbiac;48.8260904;2.3573505;metro;Avenue d'Italie;Quartier de la Maison-Blanche;75013
154;Maison Blanche;48.8214639;2.3587863;metro;Avenue d'Italie;Quartier de la Maison-Blanche;75013
155;Champs-Élysées - Clemenceau;48.8678551;2.3138686;metro;Avenue des Champs-Élysées;Quartier des Champs-Élysées;75008
156;Saint-Sulpice;48.8511009;2.3307034;metro;Rue de Rennes;Quartier Notre-Dame-des-Champs;75006
157;Château Landon;48.8788923;2.3624779;metro;Rue du Faubourg Saint-Martin;Quartier de l'Hôpital Saint-Louis;75010
158;Luxembourg;48.8454719;2.339808;metro;Boulevard Saint-Michel;Quartier du Val-de-Grâce;75005
159;Magenta;48.8808038;2.3587094;metro;Rue Demarquay;Quartier Saint-Vincent-de-Paul;75010
160;Bir-Hakeim;48.8538898;2.2893811;metro;Boulevard de Grenelle;Quartier de Grenelle;75015
161;Auber;48.8722245;2.3297877;metro;Rue Auber;Quartier de la Chaussée-d'Antin;75009
162;Porte de Choisy;48.8201241;2.3647858;metro;Boulevard Masséna;Quartier de la Gare;75013
163;Vaneau;48.8491519;2.3218529;metro;Rue de Sèvres;Quartier Saint-Thomas-d'Aquin;75007
164;Ternes;48.8783132;2.2990737;metro;Boulevard de Courcelles;Quartier des Ternes;75017
165;Gare Montparnasse 3 - Vaugirard;48.8385604;2.3159707;metro;Rue du Cotentin;Quartier Necker;75015
166;Avron;48.851501;2.3982195;metro;Allée Maria Doriath;Quartier Sainte-Marguerite;75011
167;Gare de Lyon;48.8435522;2.3743151;metro;Quartier des Quinze-Vingts;Paris 12e Arrondissement;75012
168;Marcadet - Poissonniers;48.8914837;2.3497296;metro;Boulevard Barbès;Quartier de Clignancourt;75018
169;Sèvres-Lecourbe;48.8456163;2.3095848;metro;Boulevard Garibaldi;Quartier Necker;75015
170;Nation;48.8482705;2.3958306;metro;Place de la Nation;Quartier de Picpus;75012
171;Porte de Clignancourt;48.8973976;2.3448521;metro;Passage du Mont Cenis;Quartier de Clignancourt;75018
172;Paris-Bercy - Bourgogne-Pays d'Auvergne;48.8391964;2.382849;metro;Boulevard de Bercy;Quartier de Bercy;75012
173;Europe;48.8787706;2.3222823;metro;Rue de Madrid;Quartier de l'Europe;75008
174;Botzaris;48.879514;2.3885871;metro;Rue Botzaris;Quartier d'Amérique;75019
175;Jaurès;48.8825949;2.3703263;metro;Place de la Bataille de Stalingrad;Quartier de la Villette;75019
176;Porte de Vanves;48.827676;2.3054796;metro;Boulevard Brune;Quartier de Plaisance;75014
177;Place des Fêtes;48.8768713;2.3932057;metro;Quartier d'Amérique;Paris 19e Arrondissement;75019
178;Stalingrad;48.8851627;2.3702373;metro;Avenue de Flandre;Quartier de la Villette;75019
179;Porte de Montreuil;48.8535352;2.4106565;metro;Avenue de la Porte de Montreuil;Quartier de Charonne;75020
180;Avenue du Président Kennedy - Maison de Radio-France;48.8532278;2.2801681;metro;Rue du Ranelagh;Quartier de la Muette;75016
181;Musée d'Orsay;48.8605888;2.3259096;metro;62;Rue de Lille;75343
182;Javel;48.8465072;2.2771727;metro;Port de Javel-Haut;Quartier de Javel;75015
183;Porte Maillot;48.8777372;2.2827016;metro;Place de la Porte Maillot;Quartier des Ternes;75017
184;Paris Gare de l'Est;48.8770979;2.3594905;metro;Place du 11 Novembre 1918;Quartier Saint-Vincent-de-Paul;75010
185;Cité Universitaire;48.8205877;2.3390071;metro;24;Boulevard Jourdan;75014
186;Paris Gare du Nord;48.8804003;2.3549733;metro;112;Rue de Maubeuge;75010
187;Châtelet - Les Halles;48.8616513;2.3470129;metro;101;Grand Balcon Est;75001
188;République;48.8676215;2.3637014;metro;Quartier de la Folie-Méricourt;Paris 11e Arrondissement;75011
189;Bibliothèque François Mitterrand;48.8297207;2.3770491;metro;Quai D;Quartier de la Gare;75013
190;Champ de Mars - Tour Eiffel;48.8567083;2.2897559;metro;Promenade d'Australie;Quartier de Grenelle;75015
191;Pont de l'Alma;48.8625482;2.2999919;metro;Promenade Gisèle Halimi;Quartier du Gros-Caillou;75007
192;Anvers;48.8828803;2.3442565;metro;Boulevard Marguerite de Rochechouart;Quartier de Rochechouart;75009
193;Funiculaire Montmartre - Station Inférieure;48.8846923;2.3426644;metro;Place Suzanne Valadon;Quartier de Clignancourt;75018
194;Funiculaire Montmartre - Station Supérieure;48.8856581;2.3425549;metro;Rue du Cardinal Dubois;Quartier de Clignancourt;75018
195;La Chapelle;48.8844068;2.3603057;metro;Boulevard de la Chapelle;Quartier de la Chapelle;75018
196;Gare d'Austerlitz;48.8412453;2.3663585;metro;85;Quai d'Austerlitz;75013
197;Quai de la Rapée;48.8464813;2.3659024;metro;Voie Mazas;Quartier des Quinze-Vingts;75012
198;Sentier;48.8677209;2.3457562;metro;Rue Réaumur;Quartier du Mail;75002
199;Avenue Foch;48.8705615;2.2752552;metro;Place du Maréchal de Lattre de Tassigny;Quartier de la Porte-Dauphine;75116
200;Avenue Henri Martin;48.8645533;2.2721528;metro;Boulevard Flandrin;Quartier de la Porte-Dauphine;75116
201;Gare d'Austerlitz;48.8423727;2.3656105;metro;Cour Seine;Quartier de la Salpêtrière;75013
202;Pereire - Levallois;48.8855014;2.2981866;metro;Boulevard Pereire;Quartier de la Plaine-de-Monceau;75017
203;Gare de Paris-Saint-Lazare;48.87653;2.3252374;metro;11;Parking Saint-Lazare;75008
204;Saint-Lazare;48.8754153;2.3253531;metro;Rue Saint-Lazare;Quartier de l'Europe;75009
205;Saint-Michel Notre-Dame;48.8533538;2.345784;metro;Quai Saint-Michel;Quartier de la Sorbonne;75005
206;Pont du Garigliano;48.8393018;2.2706619;metro;Esplanade Henri de France;Quartier de Javel;75015
207;Neuilly - Porte Maillot;48.8780667;2.2846161;metro;82;Avenue de la Grande Armée;75017
208;Victor Hugo;48.8699395;2.2860712;metro;Avenue Victor Hugo;Chaillot;75116
209;Concorde;48.8662052;2.3223767;metro;Place de la Concorde;Quartier de la Madeleine;75008
210;Rosa Parks;48.8964867;2.3740572;metro;Allée Rose Dieng-Kuntz;Quartier du Pont-de-Flandre;75019
211;Invalides;48.8608923;2.3144984;metro;Rue de l'Université;Quartier des Invalides;75007
212;Trocadéro;48.863045;2.2871938;metro;Place du Trocadéro et du 11 Novembre 1918;Chaillot;75116
213;Pigalle;48.8822982;2.3380899;metro;Quartier de Clignancourt;Paris 18e Arrondissement;75018
214;Château Rouge;48.8872884;2.3495532;metro;Boulevard Barbès;Quartier de Clignancourt;75018
215;Jussieu;48.8459626;2.354801;metro;Place Jussieu;Quartier Saint-Victor;75005
216;Charles de Gaulle — Étoile;48.8744088;2.295508;metro;Avenue de Wagram;Quartier du Faubourg-du-Roule;75008
217;Denfert-Rochereau;48.8342649;2.3326427;metro;Place Denfert Rochereau;Quartier du Montparnasse;75014
218;Palais Royal - Musée du Louvre;48.8624906;2.3360431;metro;Rue de Rivoli;Quartier du Palais Royal;75001
219;Montparnasse-Bienvenüe;48.8439336;2.3241027;metro;Place du 18 Juin 1940;Quartier Notre-Dame-des-Champs;75006
220;Bastille;48.852987;2.3688579;metro;Place de la Bastille;Quartier de l'Arsenal;75004
221;Hôtel de Ville;48.8575406;2.3515397;metro;Rue du Renard;Quartier Saint-Merri;75004
222;Strasbourg - Saint-Denis;48.8693002;2.3542855;metro;Boulevard Saint-Denis;Quartier de la Porte-Saint-Martin;75010
223;Barbès - Rochechouart;48.8837466;2.3496958;metro;Boulevard de la Chapelle;Quartier de la Goutte-d'Or;75018
224;Porte des Lilas;48.8769658;2.4064184;metro;Avenue Gambetta;Quartier Saint-Fargeau;75020
225;Louis Blanc;48.8813308;2.3653555;metro;Rue du Faubourg Saint-Martin;Quartier Saint-Vincent-de-Paul;75010
226;Bibliothèque François Mitterrand;48.8300059;2.3768474;metro;Quartier de la Gare;Paris 13e Arrondissement;75013
227;Gare de Lyon;48.8451709;2.3725553;metro;Place Louis Armand;Quartier des Quinze-Vingts;75012
228;Gare du Nord (RER);48.881399;2.357438;metro;Rue du Faubourg Saint-Denis;Quartier Saint-Vincent-de-Paul;75010
229;Charles de Gaulle-Étoile;48.8742672;2.2948746;metro;Place Charles de Gaulle;Quartier des Ternes;75017
230;Gare du Nord (Métro);48.8795666;2.3572124;metro;Rue du Faubourg Saint-Denis;Quartier Saint-Vincent-de-Paul;75010
231;Porte de Clichy;48.8940816;2.3151144;metro;Rue Fragonard;Quartier des Épinettes;75017
232;Pont Neuf;48.8585776;2.3422202;metro;Quai du Louvre;Quartier Saint-Germain-l'Auxerrois;75001
233;Les Halles;48.8624659;2.3460086;metro;Allée Saint-John Perse;Quartier Les Halles;75001
234;Réaumur - Sébastopol;48.8662481;2.3526084;metro;Rue Réaumur;Quartier des Arts-et-Métiers;75003
235;Étienne Marcel;48.8638718;2.3490301;metro;Rue Étienne Marcel;Quartier de Bonne-Nouvelle;75002
236;Château d'Eau;48.8728888;2.3563528;metro;Boulevard de Strasbourg;Quartier de la Porte-Saint-Martin;75010
237;Chaussée d'Antin - La Fayette;48.8730441;2.3332127;metro;Boulevard Haussmann;Quartier de la Chaussée-d'Antin;75009
238;Le Peletier;48.8748603;2.340218;metro;Rue La Fayette;Quartier du Faubourg-Montmartre;75009
239;Cadet;48.8759778;2.3444894;metro;Rue Saulnier;Quartier du Faubourg-Montmartre;75009
240;Poissonnière;48.8771197;2.3487446;metro;Rue La Fayette;Quartier de Rochechouart;75009
241;Pyramides;48.8657452;2.3344687;metro;Avenue de l'Opéra;Quartier du Palais Royal;75001
242;Porte d'Ivry;48.8216035;2.3693411;metro;Avenue de la Porte d'Ivry;Quartier de la Gare;75013
243;Pont Cardinet;48.8880133;2.3137814;metro;Allée Yvette Guilbert;Quartier des Batignolles;75017
244;Port Royal;48.8400137;2.3370805;metro;Avenue de l'Observatoire;Quartier du Val-de-Grâce;75005
245;Denfert-Rochereau;48.8329934;2.3332221;metro;Esplanade Charles-Axel Guillaumot;Quartier du Petit-Montrouge;75014
246;Gambetta;48.8649327;2.3980541;metro;Avenue Gambetta;Quartier du Père-Lachaise;75020
247;Argentine;48.8753357;2.2901322;metro;Avenue de la Grande Armée;Chaillot;75116
248;Haussmann - Saint-Lazare;48.8749979;2.3286951;metro;Place Georges Berry;Quartier de la Chaussée-d'Antin;75009
249;Courcelles;48.8794066;2.3043565;metro;Boulevard de Courcelles;Quartier de l'Europe;75008
250;Boulainvilliers;48.856567;2.2751737;metro;Villa des Guignières;Quartier de la Muette;75016
251;Porte de Bagnolet;48.8646027;2.407183;metro;Rue Belgrand;Quartier Saint-Fargeau;75020
252;Edgar Quinet;48.84111;2.3250699;metro;Allée Georges Besse;Quartier du Montparnasse;75014
253;Olympiades;48.8270448;2.3664175;metro;Rue de Tolbiac;Quartier de la Gare;75013
254;Porte de Pantin;48.8886574;2.3926771;metro;Avenue Jean Jaurès;Quartier d'Amérique;75019
255;Laumière;48.8851647;2.3794369;metro;Avenue Jean Jaurès;Quartier de la Villette;75019
256;Ourcq;48.8870772;2.38664;metro;Avenue Jean Jaurès;Quartier d'Amérique;75019
257;Porte de Versailles;48.8324338;2.2879537;metro;Esplanade du 9 novembre 1989;Quartier Saint-Lambert;75015
258;Rue du Bac;48.8551812;2.3257736;metro;Quartier Saint-Thomas-d'Aquin;Paris 7e Arrondissement;75007
259;Porte de Clichy;48.8944737;2.3134274;metro;Avenue de la Porte de Clichy;Quartier des Batignolles;75017
260;Pont Cardinet;48.8895133;2.3153423;metro;Rue Mstislav Rostropovitch;Quartier des Batignolles;75017
261;Richelieu - Drouot;48.8719671;2.3392504;metro;Boulevard Haussmann;Quartier du Faubourg-Montmartre;75009
262;Boissière;48.8670421;2.2900911;metro;Avenue Kléber;Chaillot;75116
263;Raspail;48.8389219;2.3307369;metro;Boulevard Raspail;Quartier du Montparnasse;75014
264;Daumesnil;48.8395922;2.3962319;metro;Boulevard de Reuilly;Quartier de Picpus;75012
