ID;Name;Latitude;Longitude;TransportType;adresse;compl_adresse;code_postale
1141;Pierre Charron - François 1er;48.8687875;2.3019902;bus;Rue Pierre-Charron;Quartier des Champs-Élysées;75008
1142;Nicolai;48.8363984;2.394227;bus;Rue de Wattignies;Quartier de Picpus;75012
1143;Gare de Bercy;48.8400419;2.3815489;bus;Boulevard de Bercy;Quartier de Bercy;75012
1144;Gare de Bercy;48.8401325;2.3818145;bus;Boulevard de Bercy;Quartier de Bercy;75012
1145;Ministère de l'Économie et des Finances;48.8410615;2.3783214;bus;Rue de Bercy;Quartier de Bercy;75012
1146;Ministère de l'Économie et des Finances;48.8407344;2.3784215;bus;des Finances et du Budget;Boulevard de Bercy;75012
1147;Gare de Lyon - Maison de la RATP;48.8431651;2.3742918;bus;Rue de Bercy;Quartier des Quinze-Vingts;75012
1148;Sully - Morland;48.8514109;2.363054;bus;Boulevard Henri IV;Quartier de l'Arsenal;75004
1149;Pont Sully - Quai de Béthune;48.850191;2.3596194;bus;Boulevard Henri IV;Quartier Les Îles;75004
1150;Avenue de Saint-Mandé;48.8444332;2.4055631;bus;Avenue du Docteur Arnold Netter;Quartier du Bel-Air;75012
1151;Avenue de Saint-Mandé;48.845088;2.4058828;bus;Avenue du Docteur Arnold Netter;Quartier du Bel-Air;75012
1152;Daumesnil - Félix Éboué;48.8389204;2.3938456;bus;Rue Taine;Quartier de Picpus;75012
1153;Daumesnil - Félix Éboué;48.839044;2.3937869;bus;Rue Taine;Quartier de Picpus;75012
1154;Docteur Goujon - Reuilly;48.8394925;2.3970655;bus;Boulevard de Reuilly;Quartier de Picpus;75012
1155;Docteur Goujon - Reuilly;48.8397053;2.396668;bus;Boulevard de Reuilly;Quartier de Picpus;75012
1156;Gambetta - Pyrénées;48.8644006;2.3987619;bus;Rue des Pyrénées;Quartier du Père-Lachaise;75020
1157;Hôpital Trousseau;48.8422826;2.405148;bus;Avenue du Docteur Arnold Netter;Quartier du Bel-Air;75012
1158;Hôpital Trousseau;48.8424524;2.4050375;bus;Avenue du Docteur Arnold Netter;Quartier du Bel-Air;75012
1159;La Plaine;48.8501775;2.4062934;bus;Rue des Pyrénées;Quartier de Charonne;75020
1160;La Plaine;48.8512207;2.4063833;bus;Rue des Pyrénées;Quartier de Charonne;75020
1161;Louis Braille;48.8398005;2.4040117;bus;Rue Louis Braille;Quartier du Bel-Air;75012
1162;Olympiades;48.8270424;2.3670124;bus;Rue de Tolbiac;Quartier de la Gare;75013
1163;Picpus - Reuilly;48.83955;2.3994048;bus;Boulevard de Reuilly;Quartier de Picpus;75012
1164;Picpus - Reuilly;48.839711;2.3993892;bus;Boulevard de Reuilly;Quartier de Picpus;75012
1165;Bibliothèque - Chevaleret;48.8300078;2.3758635;bus;Rue des Cadets de la France Libre;Quartier de la Gare;75013
1166;Bibliothèque - Chevaleret;48.8301035;2.3757265;bus;Rue de Tolbiac;Quartier de la Gare;75013
1167;Dijon - Lachambeaudie;48.8355914;2.3857541;bus;Rue de Dijon;Quartier de Bercy;75012
1168;Parc de Bercy;48.8339034;2.3829597;bus;Rue Joseph Kessel;Quartier de Bercy;75012
1169;Parc de Bercy;48.8340237;2.3828656;bus;Rue Joseph Kessel;Quartier de Bercy;75012
1170;Pont de Tolbiac;48.831907;2.3790472;bus;Rue Neuve Tolbiac;Quartier de la Gare;75013
1171;Pont de Tolbiac;48.8319201;2.3793759;bus;Rue Neuve Tolbiac;Quartier de la Gare;75013
1172;Olympiades;48.8272142;2.3675457;bus;Rue de Tolbiac;Quartier de la Gare;75013
1173;Jean-Pierre Timbaud;48.8647861;2.3655786;bus;Boulevard du Temple;Quartier des Enfants-Rouges;75003
1174;Jean-Pierre Timbaud;48.8649195;2.3658115;bus;Boulevard du Temple;Quartier de la Folie-Méricourt;75011
1175;Oberkampf - Filles du Calvaire;48.8621648;2.3668199;bus;Boulevard des Filles du Calvaire;Quartier des Enfants-Rouges;75003
1176;Oberkampf - Filles du Calvaire;48.8619845;2.3671289;bus;Boulevard des Filles du Calvaire;Quartier Saint-Ambroise;75011
