latitude,longitude,dep,arret metro,nomcom,code postal,lieux à visiter,description
48.8683643408, 2.22295236625,92,50 BOULEVARD HENRI SELLIER,SURESNES,92073,,Offices du tourisme et syndicats d'initiative
48.9053582758, 2.4393288221,93,"125 BIS, RUE JEAN JAURES",BOBIGNY,93008,,Offices du tourisme et syndicats d'initiative
49.1130620225, 2.21584372476,95,RUE DES ECURIES DU ROI BP 3,L ISLE ADAM,95313,,Offices du tourisme et syndicats d'initiative
48.8794724211, 2.7647848861,77,PLACE FRANÇOIS TRUFFAUT,CHESSY,77111,,Offices du tourisme et syndicats d'initiative
48.7280806673, 2.35942634037,91,AEROPORT ORLY-OUEST,PARAY-VIEILLE-POSTE,91479,,Offices du tourisme et syndicats d'initiative
49.0052960615, 2.57691294185,77,AEROPORT CDG - TERMINAL 2F,LE MESNIL-AMELOT,77291,,Offices du tourisme et syndicats d'initiative
48.8146483174, 2.25146801506,92,19 avenue Auguste Rodin,MEUDON,92048,Musée Rodin - villa des brillants,Musée et écomusée
48.5452270951, 2.65185704346,77,Avenue du General Patton,MELUN,77288,Nolimit aventure melun,"Espace de loisirs, espace récréatif"
48.8830272726, 2.30771884099,75,43 AVENUE DE VILLIERS,PARIS,75117,Musée national Jean-Jacques Henner,Musée et écomusée
48.8303654428, 2.28919116841,75,"1, PLACE DE LA PORTE DE VERSAILLES, 75738 PARIS",PARIS,75115,Paris Expo Porte de Versailles,Centre de congrès et parc d'exposition
48.8927352831, 2.2367030523,92,PARVIS DE LA DÉFENSE,PARIS LA DÉFENSE,92160,ESPACE GRANDE ARCHE,Centre de congrès et parc d'exposition
48.7918503182, 2.39646798248,94,59 AVENUE GUY-MOQUET,VITRY-SUR-SEINE,94081,Galerie municipale Jean-Collet,Diffusion de l'art (autre que musée)
48.8346266655, 2.37664094376,75,QUAI FRANCOIS-MAURIAC,Paris 13EME,75113,"Bibliothèque nationale de france, site François-Mitterrand / Tolbiac",Site et monument
49.0511050497, 2.09971155993,95,4 RUE LEMERCIER,PONTOISE,95500,Musee Tavet Delacourt,Musée et écomusée
48.8123213142, 2.42363859034,94,7 AVENUE DU GENERAL DE GAULLE,MAISONS-ALFORT,94046,Musee Fragonard de l'ecole veterinaire,Musée et écomusée
48.8457325223, 2.22805887299,92,27 RUE DES ABONDANCES,BOULOGNE-BILLANCOURT,92012,Musee Renault,Musée et écomusée
48.8559412619, 2.34604570406,75,2 BOULEVARD DU PALAIS - PALAIS DE LA CITÉ,Paris,75101,Conciergerie,Site et monument
48.860932041, 2.3554873412,75,71 RUE DU TEMPLE - HÔTEL DE Saint-AIGNAN,Paris,75103,Musée d'art et d'histoire du judaïsme,Musée et écomusée
48.8545133074, 2.36371987588,75,62 RUE Saint-ANTOINE - HÔTEL DE SULLY,Paris,75104,Jeu de paume - site Sully,Site et monument
48.8406938651, 2.34147920886,75,1 PLACE ALPHONSE LAVERAN - COUR D'ENTRÉE DE L'EGLISE,Paris,75105,Ancienne abbaye royale du Val de Grace,Site et monument
48.8562943671, 2.33860086215,75,11 QUAI DE CONTI - HÔTEL DE LA MONNAIE,Paris,75106,Musée de la monnaie de Paris,Musée et écomusée
48.8554372991, 2.32768853153,75,222 BOULEVARD Saint-GERMAIN,Paris,75106,Musée des lettres et manuscrits,Musée et écomusée
48.8581798351, 2.33743100235,75,"ACCÈS : QUAI MALAQUAIS, QUAI DU LOUVRE, QUAI DES GRANDS AUGUSTINS",Paris,75106,Pont des Arts,Site et monument
48.856115272, 2.31152870638,75,129 RUE DE GRENELLE - HÔTEL NATIONAL DES INVALIDES,Paris,75107,Musée de l'armée,Musée et écomusée
48.8778537288, 2.30168327013,75,12 RUE DARU,Paris,75108,Cathédrale Saint Alexandre Newski,Site et monument
48.8754833642, 2.31051194519,75,158 BOULEVARD HAUSSMANN,Paris,75108,Musée Jacquemart-André,Musée et écomusée
48.8749091887, 2.34314988797,75,16 RUE CADET,Paris,75109,Musée de la Franc-Maçonnerie,Musée et écomusée
48.8814140292, 2.36772671095,75,214 RUE LAFAYETTE,Paris,75110,Eglise Saint-Joseph-Artisan,Site et monument
48.8451546538, 2.3806690011,75,111 AVENUE DAUMESNIL - VIADUC DES ARTS,Paris,75112,Atelier du cuivre et de l'argent,Musée et écomusée
48.8393428218, 2.32988094476,75,3 BOULEVARD EDGARD QUINET - CIMETIÈRE DU MONTPARNASSE,Paris,75114,Moulin du Montparnasse ou moulin de la charité,Site et monument
48.8193292015, 2.34327912521,75,7 BOULEVARD JOURDAN - RÉSIDENCE POUR ÉTUDIANTS,Paris,75114,Pavillon Suisse,Site et monument
48.8377894666, 2.29298864991,75,15 RUE EUGÈNE-MILLION,Paris,75115,Hôpital Cognacq Jay,Site et monument
48.8717336868, 2.28125936593,75,59 AVENUE FOCH,Paris,75116,Musée d'Ennery,Musée et écomusée
48.8865416809, 2.33968053749,75,11 RUE POULBOT,Paris,75118,Musée espace Dali,Musée et écomusée
48.8605336154, 2.40439341542,75,119 RUE DE BAGNOLET,Paris,75120,Cimetière de Charonne,Site et monument
48.9275488364, 3.13098018908,77,RUE DE LA TOUR - OFFICE DE TOURISME DE JOUARRE,JOUARRE,77238,Cryptes mérovingiennes,Site et monument
48.260833202, 2.71349269632,77,48 AVENUE ETIENNE DAILLY,NEMOURS,77333,Musée départemental de préhistoire d'iIe-de-france,Musée et écomusée
48.5678355806, 3.29753645853,77,ROUTE DE NANTEUIL,PROVINS,77379,Couvent des Cordelières,Site et monument
48.7100261659, 2.04165733208,78,CHEMIN JEAN RACINE,CHEVREUSE,78160,Château de la Madeleine,Site et monument
48.9471591107, 2.15386695754,78,2 AVENUE CARNOT,MAISONS-LAFFITTE,78358,Château de Maisons,Site et monument
48.9905786304, 1.71956442223,78,PLACE JEAN XXIII,MANTES-LA-JOLIE,78361,Collégiale ND,Site et monument
48.8981098272, 2.09503703356,78,PLACE CHARLES DE GAULLE,SAINT-GERMAIN-EN-LAYE,78551,Château de Saint Germain en Laye,Site et monument
48.4025330102, 2.46458480017,91,15 RUE DU LAU,MILLY-LA-FORET,91405,Maison Cocteau,Musée et écomusée
48.9456852952, 2.43327270732,93,AÉROPORT DE Paris LE BOURGET - BP 173,LE BOURGET,93013,Musée de l’air et de l’espace,Musée et écomusée
48.9354731972, 2.35869879522,93,1 RUE DE LA LÉGION D'HONNEUR,SAINT-DENIS,93066,Basilique cathédrale de Saint-Denis,Site et monument
49.1471163701, 2.3822194412,95,FONDATION ROYAUMONT,ASNIERES-SUR-OISE,95026,Abbaye royale de Royaumont,Site et monument
48.4815558325, 2.71881822014,77,RUE DE TOURNEZY,BOIS-LE-ROI,77037,Ile de loisirs de Bois le Roi,"Espace de loisirs, espace récréatif"
48.4021414676, 2.70001906344,77,PLACE DU GÉNÉRAL DE GAULLE,FONTAINEBLEAU,77186,Musée national du Château de Fontainebleau,Musée et écomusée
48.7083134913, 2.95622373463,77,DOMAINE DE LA FORTELLE,LUMIGNY-NESLES-ORMEAUX,77264,Parc des félins,"Espace de loisirs, espace récréatif"
48.7743542575, 2.3000709752,92,DOMAINE DE SCEAUX,SCEAUX,92071,Musée du domaine departemental de sceaux,Musée et écomusée
48.4957768009, 2.34343888892,91,AÉRODROME DE LA FERTÉ ALAIS,CERNY,91129,Musée volant Jean Salis,Musée et écomusée
48.860310548, 2.3246827324,75,2 RUE DE LA LÉGION D'HONNEUR,Paris,75107,Musée national de la légion d'honneur et des ordres de chevalerie,Musée et écomusée
48.8512515937, 2.35197056881,75,ESCALE DE LA TOURNELLE,Paris,75105,Escale la tournelle Notre-Dame,"Haltes, escales ou ports fluviaux de plaisance"
48.8471950797, 2.36168235567,75,ESCALE DU JARDIN DES PLANTES,Paris,75105,"Escale Saint-Bernard, jardin des Plantes","Haltes, escales ou ports fluviaux de plaisance"
