Id_metro,Nom,Latitude,Longitude
147,Censier - Daubenton,48.8406473,2.3519334
148,Les Gobelins,48.8356304,2.3526735
149,Danube,48.8819488,2.393338
150,Saint-Fargeau,48.8715218,2.4043104
151,Pelleport,48.8680997,2.4013152
152,Saint-Marcel,48.8382761,2.3608491
153,Guy Môquet,48.8927239,2.3273521
154,Porte de Saint-Ouen,48.8971883,2.328869
155,Tolbiac,48.8260904,2.3573505
156,Maison Blanche,48.8224745,2.358504
157,Porte d'Italie,48.8190866,2.359533
158,Champs-Élysées - Clemenceau,48.8678551,2.3138686
159,Saint-Sulpice,48.8511009,2.3307034
160,Château Landon,48.8788923,2.3624779
161,Luxembourg,48.8454719,2.339808
162,Magenta,48.8808038,2.3587094
163,Bir-Hakeim,48.8538898,2.2893811
164,Auber,48.8722245,2.3297877
165,Porte de Choisy,48.8201241,2.3647858
166,Vaneau,48.8491211,2.3218798
167,Ternes,48.8782859,2.2990808
168,Gare Montparnasse 3 - Vaugirard,48.8385604,2.3159707
169,Avron,48.8514841,2.3981859
170,Gare de Lyon,48.8435522,2.3743151
171,Marcadet - Poissonniers,48.8914837,2.3497296
172,Sèvres-Lecourbe,48.8456163,2.3095848
173,Nation,48.8482705,2.3958306
174,Porte de Clignancourt,48.8973976,2.3448521
175,Paris-Bercy - Bourgogne-Pays d'Auvergne,48.8391964,2.382849
176,Europe,48.8787676,2.3222643
177,Botzaris,48.879514,2.3885871
178,Jaurès,48.8825949,2.3703263
179,Porte de Vanves,48.827676,2.3054796
180,Place des Fêtes,48.8768713,2.3932057
181,Porte de Montreuil,48.8535248,2.4106511
182,Avenue du Président Kennedy - Maison de Radio-France,48.8532278,2.2801681
183,Musée d'Orsay,48.8605888,2.3259096
184,Javel,48.8465072,2.2771727
185,Porte Maillot,48.8779379,2.2819557
186,Paris Gare de l'Est,48.8770979,2.3594905
187,Cité Universitaire,48.8205877,2.3390071
188,Paris Gare du Nord,48.8804003,2.3549733
189,Cour Saint-Émilion,48.8335481,2.3859541
190,Châtelet - Les Halles,48.8616513,2.3470129
191,République,48.8676215,2.3637014
192,Bibliothèque François Mitterrand,48.8297207,2.3770491
193,Champ de Mars - Tour Eiffel,48.8567083,2.2897559
194,Pont de l'Alma,48.8625482,2.2999919
195,Anvers,48.8828803,2.3442565
196,Funiculaire Montmartre - Station Inférieure,48.8846923,2.3426644
197,Funiculaire Montmartre - Station Supérieure,48.8856581,2.3425549
198,La Chapelle,48.8844068,2.3603057
199,Gare d'Austerlitz,48.8412453,2.3663585
200,Quai de la Rapée,48.8464813,2.3659024
201,Sentier,48.8677091,2.3457466
202,Avenue Foch,48.8705615,2.2752552
203,Avenue Henri Martin,48.8645533,2.2721528
204,Gare d'Austerlitz,48.8423727,2.3656105
205,Pereire - Levallois,48.8855014,2.2981866
206,Gare de Paris-Saint-Lazare,48.87653,2.3252374
207,Saint-Lazare,48.8754153,2.3253531
208,Saint-Michel Notre-Dame,48.8533538,2.345784
209,Pont du Garigliano - Hôpital Européen Georges-Pompidou,48.8393018,2.2706619
210,Neuilly - Porte Maillot,48.8780667,2.2846161
211,Victor Hugo,48.8699556,2.2860385
212,Concorde,48.8662052,2.3223767
213,Rosa Parks,48.8964867,2.3740572
214,Invalides,48.8608923,2.3144984
215,Trocadéro,48.863045,2.2871938
216,Pigalle,48.8822982,2.3380899
217,Château Rouge,48.8872884,2.3495532
218,Jussieu,48.8459626,2.354801
219,Charles de Gaulle — Étoile,48.8744088,2.295508
220,Palais Royal - Musée du Louvre,48.8624906,2.3360431
221,Montparnasse-Bienvenüe,48.8439336,2.3241027
222,Bastille,48.852987,2.3688579
223,Hôtel de Ville,48.8575406,2.3515397
224,Strasbourg - Saint-Denis,48.8693002,2.3542855
225,Barbès - Rochechouart,48.8837466,2.3496958
226,Porte des Lilas,48.8769658,2.4064184
227,Louis Blanc,48.8815943,2.3657982
228,Bibliothèque François Mitterrand,48.8300059,2.3768474
229,Gare de Lyon,48.8451709,2.3725553
230,Gare du Nord (RER),48.881399,2.357438
231,Charles de Gaulle-Étoile,48.8742672,2.2948746
232,Gare du Nord (Métro),48.8795666,2.3572124
233,Porte de Clichy,48.8940816,2.3151144
234,Pont Neuf,48.8585776,2.3422202
235,Les Halles,48.8624659,2.3460086
236,Réaumur - Sébastopol,48.8662481,2.3526084
237,Étienne Marcel,48.8638718,2.3490301
238,Château d'Eau,48.8728888,2.3563528
239,Chaussée d'Antin - La Fayette,48.8730441,2.3332127
240,Le Peletier,48.8748603,2.340218
241,Cadet,48.8759778,2.3444894
242,Poissonnière,48.8771197,2.3487446
243,Pyramides,48.8657452,2.3344687
244,Porte d'Ivry,48.8216035,2.3693411
245,Pont Cardinet,48.8880133,2.3137814
246,Port Royal,48.8400137,2.3370805
247,Denfert-Rochereau,48.8329934,2.3332221
248,Gambetta,48.8649327,2.3980541
249,Argentine,48.8753357,2.2901322
250,Haussmann - Saint-Lazare,48.8749979,2.3286951
251,Courcelles,48.8794066,2.3043565
252,Boulainvilliers,48.856567,2.2751737
253,Porte de Bagnolet,48.8646027,2.407183
254,Edgar Quinet,48.84111,2.3250699
255,Olympiades,48.8270448,2.3664175
256,Porte de Pantin,48.8886574,2.3926771
257,Laumière,48.8851647,2.3794369
258,Ourcq,48.8870772,2.38664
259,Porte de Versailles,48.8324338,2.2879537
260,Rue du Bac,48.8551812,2.3257736
261,Porte de Clichy,48.8944737,2.3134274
262,Pont Cardinet,48.8895133,2.3153423
263,Richelieu - Drouot,48.8719671,2.3392504
264,Boissière,48.8670347,2.2901145
265,Raspail,48.8389219,2.3307369
266,Daumesnil,48.8395922,2.3962319
267,Corvisart,48.8298024,2.3504805
268,Saint-François-Xavier,48.8514517,2.3144205
269,Varenne,48.8569057,2.3150837
270,Porte de Clichy,48.8948169,2.3132665
271,Pré Saint-Gervais,48.8802778,2.3988805
272,Reuilly — Diderot,48.8473574,2.3867982
273,Porte de Vincennes,48.8473367,2.408086
274,Michel-Ange - Auteuil,48.8480025,2.2641679
275,Odéon,48.8523043,2.3393706
276,Liège,48.8796039,2.3270446
277,Campo-Formio,48.8351162,2.3582026
278,Rambuteau,48.8617648,2.3537854
279,Pernety,48.8339998,2.3181806
280,Plaisance,48.8317665,2.3140421
281,Cour Saint-Émilion,48.8335395,2.385978
282,Maison Blanche,48.8224798,2.3584607
283,Porte d'Italie,48.8190862,2.3594915
284,Gaîté,48.8386383,2.3225137
285,Télégraphe,48.8754961,2.3989653
286,Temple,48.8664946,2.3607078
287,Sèvres-Babylone,48.8514707,2.3268989
